province,earliest_occurrences,latest_occurrences,population_decline
Babuyan Islands,633,2,631
Negros Oriental,520,9,511
Aurora,429,15,414
Negros Occidental,378,26,352
Mindanao,276,1,275
Caraga,454,195,259
Occidental Mindoro,248,2,246
Romblon,247,8,239
Apayao,189,23,166
Eastern Samar,170,16,154
Siquijor,152,9,143
Marinduque,161,32,129
Tawi-Tawi,192,80,112
South Cotabato,135,23,112
Agusan del Sur,142,33,109
Zamboanga Peninsula,181,91,90
Northern Mindanao,89,13,76
Bukidnon,116,51,65
Mindoro,104,40,64
Luzon,76,18,58
Basilan,62,5,57
Eastern Visayas,120,67,53
Ifugao,68,17,51
Davao Occidental,80,30,50
Davao del Sur,51,12,39
Surigao del Sur,41,3,38
Compostela Valley,34,2,32
Ilocos Norte,34,3,31
Leyte Prov.,32,2,30
Quezon,43,14,29